"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202100000001";"201 764";"B01";"1";"1";"0";"2";"1";"1";"5";""
"202100000001";"201 765";"A01";"1";"7";"0";"9";"3";"17";"1";""
"202100000002";"201 762";"A01";"0";"7";"2";"2";"1";"1";"0";""
"202100000002";"201 763";"B01";"0";"7";"0";"2";"1";"9";"0";""
"202100000003";"201 761";"A01";"1";"7";"0";"1";"3";"1";"1";""
"202100000004";"201 758";"A01";"1";"7";"0";"2";"3";"15";"1";""
"202100000004";"201 759";"D01";" -1";"60";"0";"0";"7";"19";"5";""
"202100000005";"201 754";"A01";"2";"7";"0";"2";"4";"1";"1";""
"202100000005";"201 755";"Z01";"2";"7";"0";"2";"1";"0";" -1";""
"202100000006";"201 752";"B01";"2";"1";"0";"0";"5";"1";"5";""
"202100000006";"201 753";"A01";"2";"7";"0";"2";"1";"1";"1";""
"202100000007";"201 750";"B01";"3";"7";"0";"2";"2";"11";"1";""
"202100000007";"201 751";"A01";"3";"7";"0";"2";"2";"1";"1";""
"202100000008";"201 748";"B01";"2";"32";"0";"2";"1";"1";"1";""
"202100000008";"201 749";"A01";"2";"7";"0";"0";"6";"10";"1";""
"202100000009";"201 746";"A01";"1";"7";"0";"2";"5";"15";"1";""
"202100000009";"201 747";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202100000010";"201 744";"A01";"1";"99";"0";"2";"7";"7";"1";""
"202100000010";"201 745";"B01";"1";"37";"0";"2";"3";"2";"2";"4"
"202100000011";"201 742";"A01";"3";"7";"0";"2";"2";"16";"1";""
"202100000011";"201 743";"B01";"3";"99";"0";"2";"1";"26";"3";""
"202100000012";"201 740";"A01";"2";"7";"0";"2";"2";"1";"1";""
"202100000012";"201 741";"B01";"1";"10";"16";"2";"2";"19";"1";""
"202100000013";"201 738";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202100000013";"201 739";"B01";"1";"2";"0";"0";"4";"2";"1";""
"202100000014";"201 736";"A01";"1";"7";"0";"2";"2";"16";"1";""
"202100000014";"201 737";"B01";"1";"60";"0";"2";"0";"0";"5";""
"202100000015";"201 734";"B01";"1";"7";"0";"2";"3";"1";"1";""
"202100000015";"201 735";"A01";"1";"7";"0";"2";"2";"19";"1";""
"202100000016";"201 733";"A01";"1";"15";"1";"0";"1";"1";"1";""
"202100000017";"201 731";"A01";"2";"7";"0";"0";"7";"5";"1";""
"202100000017";"201 732";"B01";"1";"7";"0";"0";"1";"1";"1";""
"202100000018";"201 729";"B01";"2";"7";"0";"0";"4";"1";"1";""
"202100000018";"201 730";"A01";"2";"14";"0";"2";"1";"1";"1";""
"202100000019";"201 727";"B01";"2";"7";"0";"2";"8";"1";"1";""
"202100000019";"201 728";"A01";"1";"7";"0";"2";"3";"13";"1";""
"202100000020";"201 725";"A01";"2";"0";"0";"2";"5";"2";" -1";""
"202100000020";"201 726";"B01";"2";"33";"0";"2";"4";"2";"1";""
"202100000021";"201 723";"B01";"1";"32";"0";"2";"7";"0";"1";""
"202100000021";"201 724";"A01";"1";"7";"0";"2";"3";"19";"1";""
"202100000022";"201 721";"A01";"1";"7";"0";"2";"1";"0";"1";""
"202100000022";"201 722";"B01";"1";"7";"9";"2";"2";"15";"1";""
"202100000023";"201 719";"A01";"1";"7";"0";"1";"1";"19";"1";""
"202100000024";"201 717";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202100000024";"201 718";"A01";"1";"7";"0";"2";"1";"5";"1";""
"202100000025";"201 716";"A01";"2";"33";"5";"0";"1";"1";"1";""
"202100000026";"201 713";"C01";"1";"7";"0";"2";"5";"23";"1";""
"202100000026";"201 714";"B01";"1";"7";"0";"0";"3";"22";"1";""
"202100000026";"201 715";"A01";"1";"33";"0";"2";"7";"3";"1";""
"202100000027";"201 711";"A01";"2";"2";"0";"2";"4";"1";"1";""
"202100000027";"201 712";"B01";"2";"10";"0";"2";"2";"2";"1";""
"202100000028";"201 709";"A01";"3";"7";"0";"2";"3";"9";"1";""
"202100000028";"201 710";"B01";"1";"32";"0";"2";"1";"21";"1";""
"202100000029";"201 708";"A01";"1";"10";"0";"1";"2";"1";"0";""
"202100000030";"201 707";"A01";"2";"7";"0";"1";"1";"1";"1";""
"202100000031";"201 706";"A01";"1";"7";"1";"0";"4";"26";"1";""
