"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202200000001";"4";"TEIL(vieille route du)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202200000002";"4";"N/A";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202200000003";"3";"ROND POINT DE BREZILLET";"0";"N/A";" -1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202200000004";"4";"QUATORZE JUILLET (RUE DU)";"0";"N/A";"1";"1";"0";"2";"(1)";"(1)";"1";"";"4";"1";"0";"1";"30"
"202200000005";"3";"ROUTE DE JEAN MOULIN-RN 538";"0";"N/A";"2";"2";"0";"1";"8";"0";"1";"";" -1";"1";"0";"1";"80"
"202200000006";"3";"TURCAN FRANCIS";"0";"N/A";"3";"4";"0";"1";"28";"6";"1";"";" -1";"1";"0";"1";"50"
"202200000007";"4";"CARNOT  RUE";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000008";"4";"JAURES JEAN (AVENUE)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000009";"4";"LOMBARDS (AVENUE)";"0";"N/A";"2";"3";"3";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"3";"50"
"202200000010";"4";"PREMIER MAI (RUE DU)";"0";"N/A";"3";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000011";"3";"ESPAGNE (ROUTE D')";"0";"N/A";"2";"2";"0";"2";"38";"522";"1";"";" -1";"2";"0";"4";"70"
"202200000012";"4";"CASSIN (BD RENE)";"0";"N/A";"3";"2";"3";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202200000013";"3";"GRIVATS (ROUTE DES)";"0";"N/A";"2";"2";"0";"1";"5";"370";"1";"";" -1";"1";"0";"1";"90"
"202200000014";"4";"GRANDE RUE";"0";"N/A";"2";"2";"0";"1";"0";"0";"3";"";" -1";"1";"0";"1";"80"
"202200000015";"4";"PLACE SKANDERBEG";"0";"N/A";"1";"4";"2";"1";"(1)";"(1)";"2";"";" -1";"2";"0";"1";"30"
"202200000016";"4";"RUE DE VAUGIRARD";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000017";"4";"BOULEVARD SAINT GERMAIN";"0";"N/A";"1";"3";"1";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"5";"30"
"202200000018";"4";"RUE DE MENILMONTANT";"0";"N/A";"3";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"30"
"202200000019";"4";"AVENUE DU PRESIDENT KENNEDY";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000020";"4";"BOULEVARD LANNES";"0";"N/A";" -1";"4";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202200000021";"4";"PLACE DE LA PORTE MAILLOT";"0";"N/A";"2";"4";"0";"1";"(1)";"(1)";"3";"";" -1";"2";"8";"1";"30"
"202200000022";"4";"RUE DE LA CROIX NIVERT";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000023";"4";"RUE EMILE RICHARD";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000024";"4";"AVENUE D IVRY";"0";"N/A";"1";"3";"1";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000025";"4";"BOULEVARD KELLERMANN";"0";"N/A";"2";"6";"1";"2";"(1)";"(1)";"2";"";" -1";"2";"0";"5";"50"
"202200000026";"4";"AVENUE DE LA PORTE DE BAGNOLET";"0";"N/A";"2";"4";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"30"
"202200000027";"4";"RUE DE TURENNE";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000028";"4";"RUE THERESE";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000029";"4";"EDOUARD TIL (R)";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"2";"5";"1";"50"
"202200000030";"1";"BRETELLE A86";"0";"N/A";"1";"2";"0";"1";"0";"0";"2";"";" -1";"1";"3";"1";"50"
"202200000031";"3";"FONTENAY (R DE)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000032";"4";"CARNOT (AV)";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202200000033";"3";"LEDRU ROLLIN (AV)";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"2";"9";"1";"50"
"202200000034";"3";"GENERAL GALLIENI (AV DU)";"0";"N/A";"2";"2";"1";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202200000035";"3";"GENERAL DE GAULLE (AV DU)";"0";"N/A";"2";"4";"0";"1";"0";"0";"1";"";" -1";"2";"6";"1";"50"
"202200000036";"3";"ALI DJERMOUNI (RD PT)";"0";"N/A";"3";"1";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000037";"4";"JULES VALLES (R)";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"2";"0";"1";"50"
"202200000038";"3";"MAURICE BERTEAUX (AV)";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"2";"0";"1";"50"
"202200000039";"2";"MARECHAL DE LATTRE DE TASSIGNY (AV)";"0";"N/A";"2";"4";"0";"1";"20";"530";"1";"";" -1";"1";"0";"1";"50"
"202200000040";"3";"VAUBAN (AVENUE)";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"1";"0";"1";"50"
"202200000041";"3";"ANDRE CITROEN (BOULEVARD)";"0";"N/A";"2";"3";"0";"1";"0";"1";"1";"";" -1";"2";"0";"1";"50"
"202200000042";"4";"LEFEVRE (BOULEVARD)";"0";"N/A";"2";"2";"0";"1";"140";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000043";"5";"CITE MARCEL PAUL";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"1";"0";"4";"50"
"202200000044";"4";"ALSACE-LORRAINE (BOULEVARD)";"0";"N/A";"3";"4";"0";"2";"1";"0";"1";"";" -1";"2";"5";"1";"50"
"202200000045";"3";"JEAN JAURES (AVENUE) (76/128)";"0";"N/A";"3";"4";"3";"1";"0";"1";"1";"";" -1";"3";"1";"1";"50"
"202200000046";"4";"JEAN JAURES (AVENUE)";"0";"N/A";"1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"30"
"202200000047";"4";"CARNOT (AVENUE) DU 1-2 AU 43-46";"0";"N/A";"1";"1";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000048";"3";"PIERRE DE MONTREUIL S5 (RUE)";"0";"N/A";"1";"2";"0";"1";"0";"1";"3";"";" -1";"2";"9";"1";"30"
"202200000049";"4";"LEON BLUM (AVENUE)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"30"
"202200000050";"3";"MITRY [CD115] (ROUTE DE)";"0";"N/A";"3";"4";"0";"1";"0";"1";"1";"";" -1";"3";"0";"1";"50"
"202200000051";"4";"N/A";"0";"N/A";"1";"1";"0";"2";"0";"0";"2";"";" -1";"2";"0";"8";"50"
"202200000052";"3";"910";"0";"N/A";" -1";"1";"3";"1";"0";"0";"1";"";" -1";"2";"6";"4";"30"
"202200000053";"4";"N/A";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000054";"3";"JARDY";"0";"N/A";"3";"4";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"70"
"202200000055";"4";"N/A";"0";"N/A";"1";"1";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000056";"2";"13";"0";"N/A";"1";"0";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000057";"3";"906";"0";"N/A";"2";"2";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000058";"4";"N/A";"0";"N/A";"2";"2";"0";"4";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000059";"4";"N/A";"0";"N/A";"1";"1";"1";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000060";"4";"N/A";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"2";"0";"4";"30"
"202200000061";"3";"75";"0";"N/A";"2";"3";"0";"2";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000062";"4";"N/A";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000063";"3";"128";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202200000064";"3";"67A";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202200000065";"1";"28";"0";"A";"3";"2";"0";"1";"76";"100";"2";"";" -1";"1";"0";"1";"130"
"202200000066";"4";"N/A";" -1";"N/A";"2";"2";"0";"2";"(1)";"(1)";"4";"";"4";"2";"0";"1";"50"
"202200000067";"2";"2";"0";"N";"1";"1";"0";"1";"29";"700";"1";"";" -1";"1";"0";"1";"50"
"202200000068";"3";"2019";" -1";"N/A";"2";"2";"0";"1";"2";"5";"1";"";" -1";"1";"0";"1";"50"
"202200000069";"2";"176";" -1";"N/A";"3";"2";"0";"1";"0";"500";"2";"";" -1";"2";"0";"1";"90"
"202200000070";"1";"28";"0";"A";"3";"4";"0";"1";"66";"800";"1";"";" -1";"1";"0";"1";"90"
"202200000071";"3";"113";" -1";"N/A";"2";"2";"0";"1";"21";"800";"1";"";" -1";"1";"0";"3";"80"
"202200000072";"3";"944";" -1";"N/A";"2";"2";"0";"1";"35";"64";"1";"";" -1";"1";"0";"1";"90"
"202200000073";"2";"4";" -1";"N/A";"2";"2";"0";"1";"25";"200";"1";"";" -1";"2";"0";"1";"80"
"202200000074";"2";"44";"0";"N";"1";"1";"0";"2";"68";"400";"1";"";" -1";"1";"0";"3";"70"
