"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202200000001";"1 099 700";"813 952";"A01";"1";"1";"3";"1";"2008";"5";"2";"8";" -1";" -1";" -1";" -1"
"202200000001";"1 099 701";"813 953";"B01";"1";"1";"1";"1";"1948";"5";"1";"8";" -1";" -1";" -1";" -1"
"202200000002";"1 099 698";"813 950";"B01";"1";"1";"4";"1";"1988";"9";"1";"0";" -1";"0";"0";" -1"
"202200000002";"1 099 699";"813 951";"A01";"1";"1";"1";"1";"1970";"4";"1";"0";" -1";"0";"0";" -1"
"202200000003";"1 099 696";"813 948";"A01";"1";"1";"1";"1";"2002";"0";"1";"0";" -1";" -1";" -1";" -1"
"202200000003";"1 099 697";"813 949";"B01";"1";"1";"4";"2";"1987";"9";"1";"0";" -1";" -1";" -1";" -1"
"202200000004";"1 099 694";"813 947";"A01";"1";"1";"1";"2";"2000";"0";"1";"8";" -1";" -1";" -1";" -1"
"202200000004";"1 099 695";"813 947";"A01";"10";"3";"4";"2";"1967";"5";"0";" -1";" -1";"2";"3";"1"
"202200000005";"1 099 692";"813 945";"B01";"1";"1";"1";"2";"1975";"0";"1";"0";" -1";" -1";" -1";" -1"
"202200000005";"1 099 693";"813 946";"A01";"1";"1";"4";"2";"1996";"0";"1";"0";" -1";" -1";" -1";" -1"
"202200000006";"1 099 690";"813 944";"B01";"1";"1";"1";"1";"1990";"4";"1";"0";" -1";"0";"0";" -1"
"202200000006";"1 099 691";"813 944";"B01";"10";"3";"4";"2";"1990";"3";"0";" -1";" -1";"2";"1";"1"
"202200000007";"1 099 685";"813 940";"D01";"1";"1";"1";"1";"1985";" -1";"1";" -1";" -1";"0";"0";" -1"
"202200000007";"1 099 686";"813 941";"A01";"2";"2";"4";"1";"1999";"5";"8";"0";" -1";"0";"0";" -1"
"202200000007";"1 099 687";"813 941";"A01";"1";"1";"4";"2";"2002";"5";"8";"0";" -1";"0";"0";" -1"
"202200000008";"1 099 683";"813 938";"B01";"1";"1";"1";"1";"1979";"0";"1";" -1";" -1";"0";"0";" -1"
"202200000008";"1 099 684";"813 939";"A01";"1";"1";"4";"1";"2007";"5";"2";" -1";" -1";"0";"0";" -1"
"202200000009";"1 099 681";"813 937";"A01";"1";"1";"1";"1";"1962";"2";"1";"0";" -1";" -1";" -1";" -1"
"202200000009";"1 099 682";"813 937";"A01";"10";"3";"4";"2";"2005";"2";"0";" -1";" -1";"5";"1";"2"
"202200000010";"1 099 679";"813 936";"A01";"10";"3";"4";"2";"2006";"0";"0";" -1";" -1";"2";"3";"1"
"202200000010";"1 099 680";"813 936";"A01";"1";"1";"1";"1";"1951";"0";"1";"0";" -1";" -1";" -1";" -1"
